  1.0  0.0
  1.0  0.002128
  0.889786  0.005142
  0.779572  0.008157
  0.669359  0.011171
  0.559145  0.014186
  0.448932  0.017201
  0.338718  0.020215
  0.228505  0.023230
  0.118291  0.026244
  0.008077  0.029259
  0.008077  0.029259
  0.008077  0.029259
  0.008077  0.029259
  0.005212  0.023636
  0.002951  0.017744
  0.001317  0.011648
  0.000330  0.005415
  0.0  0.0
  0.0  0.0
  0.0  -0.00088
  0.000330  -0.00718
  0.001317  -0.01342
  0.002950  -0.01951
  0.005212  -0.02541
  0.008077  -0.03103
  0.008077  -0.03103
  0.008077  -0.03103
  0.118291  -0.02801
  0.228505  -0.02500
  0.338718  -0.02198
  0.448932  -0.01897
  0.559145  -0.01595
  0.669359  -0.01294
  0.779572  -0.00993
  0.889786  -0.00691
  1.0  -0.00390
  1.0  0.0
